ESTRAZIONE;Q1_INDICE_DIPENDENZA;Q2_INDICE_DIPENDENZA;Q3_INDICE_DIPENDENZA;Q4_INDICE_DIPENDENZA;Q5_INDICE_DIPENDENZA;FIRENZE_INDICE_DIPENDENZA
202501;54.3;64.7;64.5;63.9;58.4;60.8
202412;54.3;64.8;64.6;64.0;58.6;60.9
202411;52.9;63.5;62.9;63.2;57.4;59.7
202410;52.8;63.7;63.0;63.3;57.6;59.8
202409;52.9;63.7;63.1;63.4;57.7;59.8
202408;52.9;63.8;63.2;63.4;57.8;59.9
202407;52.9;63.9;63.2;63.6;57.8;60.0
202406;53.0;64.1;63.3;63.7;57.9;60.1
202405;53.1;64.1;63.4;63.8;58.0;60.2
202404;53.3;64.2;63.6;64.0;58.0;60.3
202403;53.3;64.3;63.8;64.1;58.1;60.4
202402;53.4;64.4;63.9;64.2;58.2;60.5
202401;53.4;64.6;64.0;64.4;58.3;60.6
202312;53.4;64.7;64.1;64.4;58.4;60.7
202311;52.3;63.5;62.8;63.5;57.6;59.6
202310;52.5;63.8;63.0;63.7;57.8;59.8
202309;52.5;64.0;63.0;63.7;57.8;59.9
202308;52.6;64.1;63.2;63.8;57.9;60.0
202307;52.7;64.1;63.3;63.9;57.9;60.1
202306;52.7;64.3;63.4;64.0;58.0;60.2
202305;52.7;64.4;63.6;64.1;58.1;60.3
202304;52.8;64.6;63.7;64.3;58.2;60.4
202303;53.0;64.6;63.7;64.4;58.3;60.5
202302;53.0;64.6;63.9;64.4;58.5;60.6
202301;53.1;64.7;64.0;64.5;58.6;60.7
202212;53.1;64.9;64.2;64.7;58.7;60.8
202211;51.9;63.8;63.5;64.1;57.8;59.8
202210;52.0;64.0;63.7;64.2;57.9;60.0
202209;51.8;64.2;63.9;64.4;58.2;60.1
202208;51.8;64.2;64.0;64.5;58.3;60.2
202207;51.9;64.3;64.1;64.6;58.3;60.3
202206;52.1;64.4;64.3;64.7;58.6;60.4
202205;52.2;64.5;64.4;64.9;58.7;60.5
