ESTRAZIONE;Q1_INDICE_VECCHIAIA;Q2_INDICE_VECCHIAIA;Q3_INDICE_VECCHIAIA;Q4_INDICE_VECCHIAIA;Q5_INDICE_VECCHIAIA;FIRENZE_INDICE_VECCHIAIA
202501;273.0;291.8;306.0;277.3;257.4;277.2
202412;274.8;294.7;308.9;280.2;260.5;280.0
202411;242.9;261.1;272.1;246.9;231.7;247.9
202410;246.3;263.7;275.4;249.4;233.5;250.4
202409;249.2;266.0;277.8;251.9;235.7;252.8
202408;250.3;268.5;280.9;254.8;237.5;255.0
202407;253.2;271.1;282.9;256.7;239.3;257.2
202406;256.2;273.4;285.1;259.2;241.0;259.5
202405;257.8;275.8;287.5;261.3;243.0;261.6
202404;259.9;277.6;290.7;264.4;245.9;264.2
202403;260.9;279.5;292.7;267.0;248.3;266.2
202402;262.1;281.3;296.3;268.9;250.5;268.3
202401;263.4;283.7;301.2;270.9;252.7;270.6
202312;266.3;287.1;303.8;273.5;255.5;273.5
202311;235.3;255.2;264.4;243.5;229.4;243.1
202310;237.3;258.1;268.0;246.1;232.5;245.9
202309;238.8;260.4;269.7;249.0;235.2;248.3
202308;240.7;263.5;273.3;250.5;237.3;250.6
202307;242.8;267.0;275.7;252.4;239.0;252.9
202306;244.8;268.8;277.0;254.5;241.8;255.1
202305;247.0;270.9;279.8;256.2;244.3;257.3
202304;247.5;272.8;282.5;258.9;246.2;259.2
202303;249.0;275.0;284.2;260.5;248.1;261.0
202302;250.5;276.5;284.9;262.0;250.4;262.7
202301;252.8;278.6;286.7;264.9;252.6;265.0
202212;255.1;281.4;289.2;267.4;254.7;267.4
202211;227.7;250.0;255.1;238.9;226.4;237.9
202210;230.1;251.9;257.5;240.6;228.8;240.0
202209;229.8;254.7;260.2;242.7;231.3;242.0
202208;232.3;257.1;262.6;244.2;233.0;244.1
202207;233.6;259.9;265.5;246.5;235.4;246.4
202206;236.0;262.7;268.7;250.0;238.0;249.2
202205;237.3;264.7;270.8;251.9;240.4;251.3
202204;238.7;266.8;273.2;253.7;242.4;253.2
202203;240.4;268.5;275.6;255.6;244.1;255.0
202202;242.9;271.2;277.4;258.7;246.8;257.7
202201;245.2;273.2;279.5;261.9;249.6;260.2
202112;247.4;276.5;281.7;263.4;251.7;262.5
202111;220.1;246.8;248.7;234.3;224.7;233.8
202110;222.2;248.8;251.0;236.2;227.0;235.9
202109;224.6;251.2;253.5;238.8;229.2;238.3
202108;226.8;253.6;257.0;240.8;231.2;240.5
202107;228.5;255.4;258.5;242.8;233.0;242.4
202106;231.0;257.8;260.0;245.6;234.8;244.5
202105;233.9;260.0;262.4;246.9;236.3;246.5
202104;235.5;261.9;264.6;249.1;238.8;248.6
202103;238.6;264.3;267.5;251.3;240.9;251.1
202102;240.5;266.6;270.2;254.1;242.9;253.3
202101;241.9;267.2;271.2;255.4;244.9;254.7
202012;246.5;269.9;275.3;258.1;247.8;257.9
202011;219.5;240.7;243.8;230.0;221.8;230.0
202010;220.7;242.7;246.1;232.2;223.7;231.9
202009;223.3;245.1;247.6;233.9;225.3;233.9
202008;225.9;247.2;249.0;235.8;227.5;236.0
202007;227.2;248.8;250.2;237.5;229.5;237.7
202006;228.6;251.2;252.7;240.0;231.7;239.9
202005;230.3;252.8;255.2;241.3;233.0;241.5
202004;232.3;254.8;258.2;243.3;235.5;243.7
202003;233.4;256.8;259.4;245.1;236.8;245.2
202002;234.3;258.5;260.8;247.2;238.1;246.7
202001;235.9;261.4;262.9;248.7;239.5;248.6
201912;236.6;263.1;265.1;251.1;240.3;250.0
201911;209.8;235.4;236.5;226.0;215.0;223.6
201910;209.9;237.3;237.8;227.4;216.7;224.9
201909;212.2;239.2;240.0;228.9;219.2;227.0
201908;212.9;240.7;241.8;230.9;221.1;228.7
201907;214.0;242.6;243.5;233.0;222.1;230.1
201906;216.1;244.7;246.1;236.0;224.2;232.5
201905;217.6;246.1;247.4;237.1;225.3;233.8
201904;220.0;248.2;250.6;239.4;226.7;235.8
201903;221.4;250.4;253.0;240.8;228.2;237.6
201902;221.9;251.6;254.9;243.2;229.8;239.1
201901;224.5;253.5;258.1;244.7;231.6;241.1
201812;225.9;256.0;262.3;247.0;234.5;243.7
201811;202.2;229.0;232.4;222.0;210.4;218.2
201810;203.8;230.9;234.1;223.3;211.8;219.7
201809;204.2;231.2;234.4;224.3;212.8;220.4
201808;205.5;232.3;235.4;225.2;213.9;221.5
